1;the;1
2;and;0,524925431
3;to;0,522060324
4;of;0,47924654
5;a;0,414995492
6;in;0,319605611
7;is;0,228643211
8;that;0,206678883
9;for;0,191829297
10;I;0,168140981
11;you;0,167954871
12;it;0,164625551
13;with;0,143713842
14;on;0,132987578
15;as;0,121096685
16;are;0,117076557
17;be;0,111692511
18;this;0,108911876
19;was;0,093229195
20;have;0,091128626
21;or;0,084098436
22;at;0,081914819
23;not;0,080347597
24;your;0,079876543
25;from;0,078075848
26;we;0,074827524
27;by;0,074187949
28;will;0,069305357
29;can;0,06754925
30;but;0,067276342
31;they;0,066757062
32;an;0,065117904
33;he;0,061907877
34;all;0,056608469
35;has;0,051622511
36;if;0,051470266
37;their;0,051079905
38;one;0,04963829
39;do;0,049595191
40;more;0,048662669
41;n't;0,04795808
42;my;0,04792925
43;his;0,046902488
44;so;0,045302886
45;there;0,043674591
46;about;0,042983225
47;which;0,042105039
48;when;0,040990189
49;what;0,040247117
50;out;0,038021797
51;up;0,037618345
52;our;0,037509548
53;who;0,036373994
54;also;0,035971369
55;had;0,034594096
56;time;0,034443594
57;some;0,033720519
58;would;0,033395366
59;were;0,031718228
60;like;0,031432843
61;been;0,03133829
62;just;0,031113402
63;her;0,031075526
64;new;0,030710406
65;other;0,030325255
66;them;0,029554374
67;she;0,028390747
68;people;0,028003732
69;these;0,027934961
70;no;0,027555759
71;get;0,027478754
72;how;0,027261747
73;me;0,026469619
74;into;0,026366573
75;than;0,025435996
76;only;0,024425091
77;its;0,024200355
78;most;0,023967299
79;may;0,023668058
80;any;0,023665703
81;many;0,022870087
82;make;0,022454059
83;then;0,022372982
84;well;0,022111565
85;first;0,022001231
86;very;0,021833832
87;over;0,021571393
88;now;0,021419108
89;could;0,020926017
90;after;0,020771216
91;even;0,020478353
92;because;0,019861197
93;us;0,019504922
94;said;0,019440199
95;good;0,019193624
96;way;0,019104049
97;two;0,018977396
98;should;0,018745961
99;work;0,01868177
100;use;0,018603318
101;through;0,017911396
102;see;0,017725508
103;know;0,017153031
104;did;0,017138124
105;much;0,017109729
106;where;0,017055656
107;years;0,01700727
108;need;0,016709615
109;him;0,016694353
110;back;0,016649114
111;such;0,016571872
112;those;0,016012402
113;being;0,015820984
114;day;0,015784657
115;take;0,015696237
116;while;0,015637653
117;here;0,01487365
118;before;0,014830574
119;does;0,014751169
120;great;0,014547011
121;year;0,014504413
122;go;0,014029396
123;help;0,013996321
124;want;0,013993133
125;really;0,01372138
126;think;0,013374359
127;best;0,013355354
128;life;0,013328099
129;each;0,013312511
130;made;0,013259195
